"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 17 22:43:31 UTC 2021","Wed Mar 17 22:43:31 UTC 2021","0","","predicates/asserta_1/tests.lgt::tests","","tests","","iso_asserta_1_04",""
"passed","Wed Mar 17 22:40:47 UTC 2021","Wed Mar 17 22:40:47 UTC 2021","0","","functions/atan_1/tests.lgt::tests","","tests","","lgt_atan_1_06",""
"passed","Wed Mar 17 22:48:57 UTC 2021","Wed Mar 17 22:48:57 UTC 2021","0","","predicates/write_term_3/tests.lgt::tests","","tests","","sics_write_term_3_10",""
"passed","Wed Mar 17 22:45:10 UTC 2021","Wed Mar 17 22:45:10 UTC 2021","0","","predicates/findall_3/tests.lgt::tests","","tests","","iso_findall_3_05",""
"passed","Wed Mar 17 22:40:11 UTC 2021","Wed Mar 17 22:40:11 UTC 2021","0","","control/soft_cut_2_3/tests.lgt::tests","","tests","","commons_soft_cut_2_3_15",""
"passed","Wed Mar 17 22:43:50 UTC 2021","Wed Mar 17 22:43:50 UTC 2021","0","","predicates/atom_codes_2/tests.lgt::tests","","tests","","iso_atom_codes_2_01",""
"passed","Wed Mar 17 22:48:18 UTC 2021","Wed Mar 17 22:48:18 UTC 2021","0","","predicates/stream_property_2/tests.lgt::tests","","tests","","lgt_stream_property_2_10c",""
"passed","Wed Mar 17 22:49:17 UTC 2021","Wed Mar 17 22:49:17 UTC 2021","1","","syntax/numbers/tests.lgt::tests","","tests","","lgt_number_28",""
"passed","Wed Mar 17 22:47:11 UTC 2021","Wed Mar 17 22:47:11 UTC 2021","2","","predicates/peek_code_2/tests.lgt::tests","","tests","","lgt_peek_code_2_19",""
"passed","Wed Mar 17 22:47:04 UTC 2021","Wed Mar 17 22:47:04 UTC 2021","1","","predicates/peek_byte_2/tests.lgt::tests","","tests","","iso_peek_byte_2_01",""
"passed","Wed Mar 17 22:46:05 UTC 2021","Wed Mar 17 22:46:05 UTC 2021","0","","predicates/is_2/tests.lgt::tests","","tests","","lgt_is_2_36",""
"passed","Wed Mar 17 22:49:21 UTC 2021","Wed Mar 17 22:49:21 UTC 2021","1","","syntax/operators/tests.lgt::tests","","tests","","iso_operators_15",""
"passed","Wed Mar 17 22:44:30 UTC 2021","Wed Mar 17 22:44:30 UTC 2021","0","","predicates/close_2/tests.lgt::tests","","tests","","lgt_close_1_09",""
"passed","Wed Mar 17 22:41:37 UTC 2021","Wed Mar 17 22:41:37 UTC 2021","0","","functions/exp_1/tests.lgt::tests","","tests","","iso_exp_1_03",""
"passed","Wed Mar 17 22:49:25 UTC 2021","Wed Mar 17 22:49:25 UTC 2021","1","","syntax/terms/tests.lgt::tests","","tests","","iso_term_07",""
"passed","Wed Mar 17 22:48:06 UTC 2021","Wed Mar 17 22:48:06 UTC 2021","0","","predicates/setof_3/tests.lgt::tests","","tests","","iso_setof_3_22",""
"passed","Wed Mar 17 22:44:58 UTC 2021","Wed Mar 17 22:44:58 UTC 2021","0","","predicates/current_predicate_1/tests.lgt::tests","","tests","","eclipse_current_predicate_1_12",""
"passed","Wed Mar 17 22:46:05 UTC 2021","Wed Mar 17 22:46:05 UTC 2021","0","","predicates/is_2/tests.lgt::tests","","tests","","iso_is_2_17",""
"passed","Wed Mar 17 22:45:49 UTC 2021","Wed Mar 17 22:45:49 UTC 2021","1","","predicates/get_code_2/tests.lgt::tests","","tests","","iso_get_code_2_03",""
"passed","Wed Mar 17 22:45:29 UTC 2021","Wed Mar 17 22:45:29 UTC 2021","1","","predicates/format_2/tests.lgt::tests","","tests","","lgt_format_2_empty_control_sequence",""
"passed","Wed Mar 17 22:43:46 UTC 2021","Wed Mar 17 22:43:46 UTC 2021","0","","predicates/atom_chars_2/tests.lgt::tests","","tests","","eddbali_atom_chars_2_11",""
"passed","Wed Mar 17 22:48:22 UTC 2021","Wed Mar 17 22:48:22 UTC 2021","0","","predicates/sub_atom_5/tests.lgt::tests","","tests","","sics_sub_atom_5_21",""
"passed","Wed Mar 17 22:46:40 UTC 2021","Wed Mar 17 22:46:40 UTC 2021","0","","predicates/number_chars_2/tests.lgt::tests","","tests","","sics_number_chars_2_22",""
"passed","Wed Mar 17 22:47:31 UTC 2021","Wed Mar 17 22:47:31 UTC 2021","1","","predicates/put_code_2/tests.lgt::tests","","tests","","iso_put_code_2_01",""
"passed","Wed Mar 17 22:44:06 UTC 2021","Wed Mar 17 22:44:06 UTC 2021","0","","predicates/bagof_3/tests.lgt::tests","","tests","","iso_bagof_3_04",""
"passed","Wed Mar 17 22:49:21 UTC 2021","Wed Mar 17 22:49:21 UTC 2021","0","","syntax/operators/tests.lgt::tests","","tests","","lgt_operators_38",""
"passed","Wed Mar 17 22:46:56 UTC 2021","Wed Mar 17 22:46:56 UTC 2021","0","","predicates/op_3/tests.lgt::tests","","tests","","iso_op_3_09",""
"passed","Wed Mar 17 22:45:33 UTC 2021","Wed Mar 17 22:45:33 UTC 2021","1","","predicates/format_3/tests.lgt::tests","","tests","","lgt_format_3_empty_arguments",""
"passed","Wed Mar 17 22:44:30 UTC 2021","Wed Mar 17 22:44:30 UTC 2021","0","","predicates/close_2/tests.lgt::tests","","tests","","lgt_close_1_07",""
"passed","Wed Mar 17 22:47:15 UTC 2021","Wed Mar 17 22:47:15 UTC 2021","0","","predicates/plus_3/tests.lgt::tests","","tests","","lgt_plus_3_04",""
"passed","Wed Mar 17 22:39:40 UTC 2021","Wed Mar 17 22:39:40 UTC 2021","0","","control/conjunction_2/tests.lgt::tests","","tests","","lgt_conjunction_2_04",""
"passed","Wed Mar 17 22:45:29 UTC 2021","Wed Mar 17 22:45:29 UTC 2021","1","","predicates/format_2/tests.lgt::tests","","tests","","lgt_format_2_code_n",""
"passed","Wed Mar 17 22:42:36 UTC 2021","Wed Mar 17 22:42:36 UTC 2021","0","","functions/rem_2/tests.lgt::tests","","tests","","lgt_rem_2_02",""
"passed","Wed Mar 17 22:45:41 UTC 2021","Wed Mar 17 22:45:41 UTC 2021","2","","predicates/get_byte_2/tests.lgt::tests","","tests","","sics_get_byte_2_14",""
"passed","Wed Mar 17 22:46:17 UTC 2021","Wed Mar 17 22:46:17 UTC 2021","0","","predicates/msort_2/tests.lgt::tests","","tests","","lgt_msort_2_03",""
"passed","Wed Mar 17 22:42:32 UTC 2021","Wed Mar 17 22:42:32 UTC 2021","0","","functions/power_2/tests.lgt::tests","","tests","","iso_power_2_03",""
